,일시,평균기온(℃),평균습도(%rh)
0,2025-01-01,2.6,64.3
1,2025-01-02,0.5,48.8
2,2025-01-03,-1.1,52.0
3,2025-01-04,-0.1,49.6
4,2025-01-05,1.2,85.0
5,2025-01-06,1.0,75.6
6,2025-01-07,-2.6,53.5
7,2025-01-08,-3.4,55.1
8,2025-01-09,-9.7,38.4
9,2025-01-10,-7.3,48.0
10,2025-01-11,-5.1,57.4
11,2025-01-12,-3.4,59.9
12,2025-01-13,-0.4,76.9
13,2025-01-14,2.3,72.0
14,2025-01-15,-3.5,40.8
15,2025-01-16,-0.5,65.1
16,2025-01-17,-0.5,62.4
17,2025-01-18,1.0,54.1
18,2025-01-19,3.8,65.0
19,2025-01-20,3.9,73.1
20,2025-01-21,2.4,79.8
21,2025-01-22,3.6,70.3
22,2025-01-23,2.0,54.3
23,2025-01-24,3.1,45.9
24,2025-01-25,5.2,52.8
25,2025-01-26,4.6,50.5
26,2025-01-27,0.2,77.9
27,2025-01-28,-3.9,71.3
28,2025-01-29,-4.6,66.1
29,2025-01-30,-3.8,46.6
30,2025-01-31,-0.8,80.1
31,2025-02-01,1.6,74.3
32,2025-02-02,1.5,67.1
33,2025-02-03,-4.1,48.8
34,2025-02-04,-9.0,50.8
35,2025-02-05,-8.6,49.1
36,2025-02-06,-5.6,59.9
37,2025-02-07,-8.0,60.1
38,2025-02-08,-7.9,54.5
39,2025-02-09,-4.7,63.8
40,2025-02-10,-2.6,61.0
41,2025-02-11,0.5,59.8
42,2025-02-12,0.5,75.8
43,2025-02-13,0.2,53.1
44,2025-02-14,3.7,67.4
45,2025-02-15,4.1,76.5
46,2025-02-16,4.3,75.6
47,2025-02-17,-0.3,39.1
48,2025-02-18,-2.3,40.3
49,2025-02-19,-3.0,44.8
50,2025-02-20,-2.9,43.3
51,2025-02-21,-2.5,45.3
52,2025-02-22,-2.3,49.1
53,2025-02-23,-3.6,45.4
54,2025-02-24,-1.3,49.8
55,2025-02-25,2.1,72.6
56,2025-02-26,3.7,49.4
57,2025-02-27,5.8,29.4
58,2025-02-28,7.8,52.4
59,2025-03-01,8.5,68.5
60,2025-03-02,8.3,68.0
61,2025-03-03,3.1,63.5
62,2025-03-04,2.5,68.3
63,2025-03-05,4.8,63.3
64,2025-03-06,4.8,55.1
65,2025-03-07,5.3,49.3
66,2025-03-08,5.8,55.0
67,2025-03-09,6.9,67.3
68,2025-03-10,8.0,59.8
69,2025-03-11,9.4,58.0
70,2025-03-12,8.5,72.3
71,2025-03-13,8.9,54.6
72,2025-03-14,12.4,31.4
73,2025-03-15,12.6,39.1
74,2025-03-16,4.9,56.3
75,2025-03-17,2.5,46.0
76,2025-03-18,2.1,70.6
77,2025-03-19,2.4,49.5
78,2025-03-20,8.2,62.8
79,2025-03-21,11.6,61.3
80,2025-03-22,12.8,53.8
81,2025-03-23,15.2,49.0
82,2025-03-24,15.5,56.1
83,2025-03-25,12.7,63.5
84,2025-03-26,15.5,46.4
85,2025-03-27,13.7,65.1
86,2025-03-28,6.5,41.6
87,2025-03-29,3.3,40.8
88,2025-03-30,3.3,51.1
89,2025-03-31,7.7,50.5
90,2025-04-01,10.1,53.0
91,2025-04-02,8.9,55.4
92,2025-04-03,9.8,58.6
93,2025-04-04,10.6,54.5
94,2025-04-05,8.0,86.1
95,2025-04-06,10.3,67.3
96,2025-04-07,13.5,54.5
97,2025-04-08,13.8,55.0
98,2025-04-09,12.7,51.6
99,2025-04-10,13.2,60.6
100,2025-04-11,16.2,51.8
101,2025-04-12,12.9,66.5
102,2025-04-13,5.5,71.1
103,2025-04-14,4.4,87.4
104,2025-04-15,8.2,70.3
105,2025-04-16,14.6,58.0
106,2025-04-17,19.7,63.5
107,2025-04-18,18.6,67.9
108,2025-04-19,15.3,89.1
109,2025-04-20,16.7,70.0
110,2025-04-21,20.7,65.3
111,2025-04-22,17.8,87.8
112,2025-04-23,16.8,62.4
113,2025-04-24,14.7,52.4
114,2025-04-25,12.5,38.4
115,2025-04-26,13.8,53.1
116,2025-04-27,14.9,46.4
117,2025-04-28,15.1,45.6
118,2025-04-29,14.8,34.1
119,2025-04-30,18.4,36.3
120,2025-05-01,14.7,69.6
121,2025-05-02,13.4,59.3
122,2025-05-03,11.2,80.5
123,2025-05-04,13.7,60.9
124,2025-05-05,12.1,64.5
125,2025-05-06,14.4,57.5
126,2025-05-07,14.9,61.5
127,2025-05-08,17.4,53.5
128,2025-05-09,15.1,81.8
129,2025-05-10,12.3,95.5
130,2025-05-11,14.7,76.9
131,2025-05-12,17.0,62.6
132,2025-05-13,19.9,47.4
133,2025-05-14,21.0,52.8
134,2025-05-15,19.5,80.9
135,2025-05-16,19.4,92.6
136,2025-05-17,18.3,86.4
137,2025-05-18,15.6,59.3
138,2025-05-19,16.1,70.4
139,2025-05-20,22.2,85.5
140,2025-05-21,25.5,75.5
141,2025-05-22,23.9,68.0
142,2025-05-23,19.4,53.8
143,2025-05-24,15.6,69.1
144,2025-05-25,17.4,61.0
145,2025-05-26,19.7,59.4
146,2025-05-27,20.8,57.0
147,2025-05-28,20.8,62.0
148,2025-05-29,21.2,58.4
149,2025-05-30,22.2,55.0
150,2025-05-31,21.5,55.0
151,2025-06-01,22.6,57.8
152,2025-06-02,21.0,64.3
153,2025-06-03,20.9,56.9
154,2025-06-04,20.5,55.3
155,2025-06-05,21.7,49.8
156,2025-06-06,24.1,42.6
157,2025-06-07,23.7,61.4
158,2025-06-08,25.1,69.3
159,2025-06-09,24.2,66.6
160,2025-06-10,21.7,71.6
161,2025-06-11,22.7,54.6
162,2025-06-12,25.5,50.4
163,2025-06-13,24.0,60.9
164,2025-06-14,25.6,66.3
165,2025-06-15,26.3,69.6
166,2025-06-16,23.0,87.8
167,2025-06-17,24.8,73.3
168,2025-06-18,25.5,65.3
169,2025-06-19,28.1,57.9
170,2025-06-20,24.1,93.4
171,2025-06-21,22.0,88.1
172,2025-06-22,23.3,68.6
173,2025-06-23,26.1,64.8
174,2025-06-24,25.0,63.4
175,2025-06-25,20.9,88.9
176,2025-06-26,22.2,85.3
177,2025-06-27,25.0,78.1
178,2025-06-28,26.2,85.0
179,2025-06-29,27.1,77.1
180,2025-06-30,28.2,74.6
181,2025-07-01,28.6,78.6
182,2025-07-02,28.6,76.3
183,2025-07-03,28.3,75.5
184,2025-07-04,27.2,77.0
185,2025-07-05,28.4,72.9
186,2025-07-06,29.1,74.3
187,2025-07-07,29.1,79.0
188,2025-07-08,31.3,72.5
189,2025-07-09,31.9,61.1
190,2025-07-10,31.4,46.6
191,2025-07-11,30.2,47.1
192,2025-07-12,30.3,47.5
193,2025-07-13,27.7,66.8
194,2025-07-14,24.2,78.3
195,2025-07-15,23.6,84.1
196,2025-07-16,23.3,90.1
197,2025-07-17,23.3,94.3
198,2025-07-18,24.7,89.5
199,2025-07-19,23.9,95.4
200,2025-07-20,27.7,82.8
201,2025-07-21,28.5,77.4
202,2025-07-22,28.8,75.6
203,2025-07-23,28.9,70.4
204,2025-07-24,29.8,68.0
205,2025-07-25,31.1,64.6
206,2025-07-26,32.3,61.9
207,2025-07-27,32.8,62.4
208,2025-07-28,32.2,67.3
209,2025-07-29,32.0,64.0
210,2025-07-30,32.1,62.9
211,2025-07-31,30.9,62.3
212,2025-08-01,31.0,66.9
213,2025-08-02,31.2,62.1
214,2025-08-03,28.8,69.0
215,2025-08-04,28.1,75.5
216,2025-08-05,29.1,67.4
217,2025-08-06,27.1,89.0
218,2025-08-07,28.2,70.8
219,2025-08-08,26.6,74.8
220,2025-08-09,24.9,82.1
221,2025-08-10,27.3,70.0
222,2025-08-11,27.0,73.9
223,2025-08-12,28.6,62.9
224,2025-08-13,25.1,91.8
225,2025-08-14,25.5,91.1
226,2025-08-15,27.1,84.3
227,2025-08-16,28.2,76.0
228,2025-08-17,28.4,76.3
229,2025-08-18,28.9,75.6
230,2025-08-19,29.1,75.3
231,2025-08-20,29.4,74.5
232,2025-08-21,29.8,70.6
233,2025-08-22,29.4,71.5
234,2025-08-23,29.3,74.9
235,2025-08-24,30.2,69.4
236,2025-08-25,28.7,80.6
237,2025-08-26,27.6,81.8
238,2025-08-27,26.7,73.8
239,2025-08-28,28.3,72.9
240,2025-08-29,29.0,82.0
241,2025-08-30,28.4,81.1
242,2025-08-31,28.5,75.3
243,2025-09-01,26.1,87.3
244,2025-09-02,26.0,74.6
245,2025-09-03,27.6,67.5
246,2025-09-04,25.8,82.1
247,2025-09-05,27.9,68.5
248,2025-09-06,26.8,86.6
249,2025-09-07,25.3,77.5
250,2025-09-08,24.4,73.0
251,2025-09-09,23.7,71.9
252,2025-09-10,24.8,61.1
253,2025-09-11,25.8,57.6
254,2025-09-12,23.9,68.8
255,2025-09-13,23.3,81.0
256,2025-09-14,24.8,72.0
257,2025-09-15,25.7,71.6
258,2025-09-16,23.7,86.8
259,2025-09-17,22.7,92.0
260,2025-09-18,22.1,74.4
261,2025-09-19,19.4,82.0
262,2025-09-20,20.0,85.4
263,2025-09-21,21.6,67.0
264,2025-09-22,21.3,59.8
265,2025-09-23,22.7,56.5
266,2025-09-24,22.0,81.8
267,2025-09-25,22.5,80.0
268,2025-09-26,21.7,78.1
269,2025-09-27,22.5,71.1
270,2025-09-28,20.0,85.6
271,2025-09-29,19.6,77.8
272,2025-09-30,19.8,81.3
273,2025-10-01,20.5,78.1
274,2025-10-02,21.4,74.5
275,2025-10-03,21.2,75.5
276,2025-10-04,22.5,74.6
277,2025-10-05,21.4,89.6
278,2025-10-06,17.6,93.8
279,2025-10-07,18.2,94.9
280,2025-10-08,21.9,72.8
281,2025-10-09,20.0,69.6
282,2025-10-10,17.0,98.1
283,2025-10-11,20.3,93.1
284,2025-10-12,19.0,84.6
285,2025-10-13,15.7,94.4
286,2025-10-14,17.9,80.3
287,2025-10-15,20.2,74.8
288,2025-10-16,20.2,75.3
289,2025-10-17,19.9,74.8
290,2025-10-18,15.8,87.8
291,2025-10-19,14.5,71.5
292,2025-10-20,10.0,65.9
293,2025-10-21,9.2,68.3
294,2025-10-22,13.1,72.1
295,2025-10-23,14.9,70.3
296,2025-10-24,15.8,66.5
297,2025-10-25,14.4,66.9
298,2025-10-26,12.2,70.1
299,2025-10-27,8.1,45.0
300,2025-10-28,8.5,52.4
301,2025-10-29,11.4,65.0
302,2025-10-30,12.8,70.3
303,2025-10-31,15.1,69.9
304,2025-11-01,12.9,73.0
305,2025-11-02,8.0,57.0
306,2025-11-03,7.2,54.1
307,2025-11-04,10.2,60.6
308,2025-11-05,11.6,60.0
309,2025-11-06,12.5,69.9
310,2025-11-07,13.9,66.3
311,2025-11-08,14.5,69.4
312,2025-11-09,13.5,64.1
313,2025-11-10,8.3,37.6
314,2025-11-11,8.9,57.6
315,2025-11-12,10.8,65.5
316,2025-11-13,11.1,65.4
317,2025-11-14,9.1,53.8
318,2025-11-15,9.8,49.1
319,2025-11-16,11.6,58.4
320,2025-11-17,3.2,37.4
321,2025-11-18,1.6,47.1
322,2025-11-19,3.0,50.1
323,2025-11-20,7.4,58.8
324,2025-11-21,7.4,58.5
325,2025-11-22,9.6,65.3
326,2025-11-23,10.9,69.6
327,2025-11-24,12.4,72.5
328,2025-11-25,7.4,81.1
329,2025-11-26,6.4,66.4
330,2025-11-27,5.1,77.4
331,2025-11-28,2.3,56.4
332,2025-11-29,5.7,57.1
333,2025-11-30,12.4,78.8
334,2025-12-01,5.5,50.5
335,2025-12-02,0.1,41.1
336,2025-12-03,-5.9,41.4
337,2025-12-04,-3.2,49.6
338,2025-12-05,-2.6,53.6
339,2025-12-06,2.1,70.9
340,2025-12-07,8.3,77.4
341,2025-12-08,3.4,45.4
342,2025-12-09,2.8,59.0
343,2025-12-10,4.9,73.1
344,2025-12-11,4.0,68.3
345,2025-12-12,2.0,56.3
346,2025-12-13,2.6,81.5
347,2025-12-14,-0.1,76.5
348,2025-12-15,0.7,76.4
349,2025-12-16,3.8,88.5
350,2025-12-17,4.2,72.8
351,2025-12-18,2.3,60.6
352,2025-12-19,4.9,66.5
353,2025-12-20,7.3,74.1
354,2025-12-21,-1.1,42.0
355,2025-12-22,-0.7,44.8
356,2025-12-23,2.6,70.9
357,2025-12-24,2.8,79.0
358,2025-12-25,-3.6,54.1
359,2025-12-26,-8.2,38.9
360,2025-12-27,-2.6,52.1
361,2025-12-28,3.2,76.4
362,2025-12-29,4.9,74.1
363,2025-12-30,-0.5,45.1
364,2025-12-31,-5.6,40.9
